running_number,created_at,updated_at,district,subdistrict,province,days_waiting,hours_waiting,location_name,location_other,status_text
HDY68-1124-0771,2025-11-24 14:19:53,2025-11-24 14:19:53,หาดใหญ่,คอหงส์,สงขลา,1.45,34.8,,บริเวณนั้นไม่ได้รับการช่วยเหลือ มีหลายครัวเรือน ขาดน้ำ ขาดอาหาร น้ำท่วมเริ่มขึ้นชั้น 2 ฝนตกต่อเนื่อง มีทั้งผู้สูงอายุ และ เด็ก,รอการช่วยเหลือ
HDY68-1124-0772,2025-11-24 14:19:59,2025-11-24 14:19:59,หาดใหญ่,คอหงส์,สงขลา,1.45,34.8,,บ้าน2ชั้น ผู้ประสบภัย 4 คน ในนั้นมีคนสูงอายุ 2คน,รอการช่วยเหลือ
HDY68-1124-0775,2025-11-24 14:20:26,2025-11-24 14:20:26,หาดใหญ่,คอหงส์,สงขลา,1.45,34.8,,เป็นผู้ชาย 2 คนค่ะฝากพี่ๆเค้าไปดูด้วยนะคะ เจ้าตัวแบตหมดและไม่มีอาการค่,รอการช่วยเหลือ
HDY68-1124-0774,2025-11-24 14:20:29,2025-11-24 14:20:29,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.8,,"ผู้​ประสบ​ภัยทั้งคู่​ติดอยู่ภายใน​บ้าน​3​วัน​ไม่มี​น้ำ​ไม่มี​อาหาร
ไม่​สามารถ​ติดต่อ​ได้​ตอน​นี้ ไม่มี​สัญญาณ​โทรศัพท์มือถือ​",รอการช่วยเหลือ
HDY68-1124-0776,2025-11-24 14:20:29,2025-11-24 14:20:29,หาดใหญ่,คอหงส์,สงขลา,1.45,34.8,,พ่อแม่ไม่มีสัญญาณโทรศัพท์  แบตหมด,รอการช่วยเหลือ
HDY68-1124-0777,2025-11-24 14:20:51,2025-11-24 14:20:51,หาดใหญ่,คอหงส์,สงขลา,1.45,34.8,,พ่อเป็นเบาหวานกับความดัน บ้านมีแค่ 1 ชั้นครึ่ง ตอนนี้ท่วมไปถึงชั้นลอยแล้ว รบกวนปีนไปบนหลังคาแล้วทุบกระจกตรงหลังคาเลยค่ะ,รอการช่วยเหลือ
HDY68-1124-0778,2025-11-24 14:20:58,2025-11-24 14:20:58,หาดใหญ่,ควนลัง,สงขลา,1.45,34.8,,"โซนริมประตูน้ำคลอง ร.1 ประตูแรก
มีหลายครัวเรือนยังไม่ได้รับการช่วยเหลือ
ตอนนี้น้ำท่วมชั้น 2 แล้ว มีผู้สูงอายุและเด็กหลายคนค่ะ

บ้านเลขที่ 5 ม.1 ถ.เลียบคลองร.1 ต.ควนลัง อ.หาดใหญ่ จ.สงขลา
(บ้านติดประตูน้ำคลอง ร.1 ประตูแรก บ้านที่มีตู้นม ติดกับบ้านสีชมพู ครึ่งบนเป็นไม้ หลังคาสีเขียว)",รอการช่วยเหลือ
HDY68-1124-0779,2025-11-24 14:21:08,2025-11-24 14:21:08,หาดใหญ่,ควนลัง,สงขลา,1.45,34.8,,"คนแก่ ผู้ชาย1 คน
คนแก่ผู้หญิง1คน",รอการช่วยเหลือ
HDY68-1124-0780,2025-11-24 14:21:10,2025-11-24 14:21:10,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.8,,ไม่สามารถอพยพออกจากบ้านได้ น้ำท่วมมิดชั้น 1 แล้ว และ หน้าต่างติดเหล็กดัดทุกบาน ผู้ประสบภัยไม่มีแบตโทรศัพท์แล้ว ขาดอาหาร,รอการช่วยเหลือ
HDY68-1124-0781,2025-11-24 14:21:16,2025-11-24 14:21:16,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.8,,ต้องการอพยพด่วยๆค่ะ,รอการช่วยเหลือ
HDY68-1124-0782,2025-11-24 14:21:17,2025-11-24 14:21:17,หาดใหญ่,คอหงส์,สงขลา,1.45,34.8,,"อยู่นิพัทธ์สงเคราะห์ 5 ซอย 8 บ้านเดี่ยวหลังคาเขียว
น้ำกำลังจะขึ้นชั้นที่สองครับ รบกวนด้วยครับ
มาถึงตะโกนเรียกได้เลยครับหรือโทรก็ได้
ขอบคุณมากๆครับ",รอการช่วยเหลือ
HDY68-1124-0783,2025-11-24 14:21:36,2025-11-24 14:21:36,หาดใหญ่,คอหงส์,สงขลา,1.45,34.8,,"ที่บ้านมีทั้งหมด 3 คน
- ยาย อายุ 86 ปี ติดเตียง เดินไม่ได้
- แม่
- พี่ชาย
ตอนนี้น้ำท่วมมิดชั้น 1 กำลังจะขึ้นชั้น 2  (บ้าน 2 ชั้น)
ขอบคุณครับ",รอการช่วยเหลือ
HDY68-1124-0784,2025-11-24 14:21:48,2025-11-24 14:21:48,หาดใหญ่,บ้านพรุ,สงขลา,1.45,34.8,,,รอการช่วยเหลือ
HDY68-1124-0785,2025-11-24 14:21:50,2025-11-24 14:21:50,หาดใหญ่,คลองแห,สงขลา,1.45,34.8,,ผู้แจ้งเป็นญาติไม่ได้อยู่ในพื้นที่ ตอนนี้ไม่สามารถติดต่อคนในพื้นที่ได้,รอการช่วยเหลือ
HDY68-1124-0786,2025-11-24 14:22:04,2025-11-24 14:22:04,หาดใหญ่,ควนลัง,สงขลา,1.45,34.8,,,รอการช่วยเหลือ
HDY68-1124-0787,2025-11-24 14:22:23,2025-11-24 14:22:23,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.8,,อย่างน้อยอพยพยังไม่ได้ขอข้าวขอน้ำกินก่อนค่ะ,รอการช่วยเหลือ
HDY68-1124-0788,2025-11-24 14:22:28,2025-11-24 14:22:28,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,"บ้านเลขที่ 155/15
มีผู้ป่วยติดเตียงอายุ 92 1 คน รอการช่วยเหลืออยู่
ผู้ใหญ่ 2 คน
เด็ก 1 คน 
แมว 1 ตัว

บ้านเลขที่ 155/8
มีผู้หญิง 1 คน",รอการช่วยเหลือ
HDY68-1124-0789,2025-11-24 14:22:34,2025-11-24 14:22:34,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,"ขอความช่วยเหลือ
โซน ซอยโพธิพงศา เลียบคลองเตย
ครับ ถัดจากซอยจันทร์ฉาย บ้านเลขที่
98 บริเวณนั้น น้ำท่วม ชั้น 1 จะขึ้นชั้น2
แล้วครับ ติดอยู่บ้านด้านบนชั้น 2 2 คน
"" แม่เป็นผู้ป่วยติดเตียง
อยู่กับพี่ชาย ครับ โดนตัดน้ำตัดไฟ
แล้วครับ
สามารถเข้าทางแบงค์ชาติ หลัง สยาม
นครินทร์ ซอยข้าง Mr.K
0842597991 ครับ",รอการช่วยเหลือ
HDY68-1124-0790,2025-11-24 14:22:35,2025-11-24 14:22:35,หาดใหญ่,คลองแห,สงขลา,1.45,34.7,,น้ำขึ้นมาจะถึงชั้นลอยแล้วค่ะ เหลือบันได 1 ขั้น,รอการช่วยเหลือ
HDY68-1124-0792,2025-11-24 14:22:35,2025-11-24 14:22:35,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,"มีญาติผู้สูงอายุ อยู่บ้านคนเดียว ไม่มีโทรศัพท์ติดต่อ
เลขที่ 133 ซอย 13 
น้ำท่วมถึงชั้น 2 แล้วค่ะ",รอการช่วยเหลือ
HDY68-1124-0791,2025-11-24 14:22:35,2025-11-24 14:22:35,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,"ตอนนี้ติดต่อผู้ประสบภัยไม่ได้แล้ว (สรคมน์) ผู้ประสบภัย
น้ำถึงชั้น 2 แล้ว ติดอยู่คนเดียว",รอการช่วยเหลือ
HDY68-1124-0793,2025-11-24 14:23:04,2025-11-24 19:57:20,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,"มี2คนครับ ตอนนี้อาหารหมดแล้ว น้ำขึ้นสูงกำลังจะถึงชั้น2
ถ้าอพยพไม่ได้ ขออาหารก็ได้ครับ ไม่ได้กินข้าวหลายวันแล้ว",รอการช่วยเหลือ
HDY68-1124-0794,2025-11-24 14:23:13,2025-11-24 14:23:13,สะเดา,เขามีเกียรติ,สงขลา,1.45,34.7,,ทางผู้ประสบภัยทักมาแจ้งให้ขอความช่วยเหลือให้เนื่องจากไม่มีสัญญาณมือและอินเทอร์เน็ตในพื้นที่เลย,รอการช่วยเหลือ
HDY68-1124-0795,2025-11-24 14:23:14,2025-11-24 14:23:14,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.7,,,รอการช่วยเหลือ
HDY68-1124-0796,2025-11-24 14:23:15,2025-11-24 14:23:15,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,"จุดสังเกตบ้านหลังที่ 2 ก่อนถึงบ้านเดี่ยวครับ ระเบียงจะมีต้นไม้เยอะ ๆ และจะมีกระดิ่งเยอะ ๆ ครับ คุณแม่ผมชื่อกบ ประตูบ้านชั้น 1 เป็นประตูบานเลื่อนขึ้นสีน้ำตาลอมส้ม มีผู้หญิง 1 แมว 2

ติดต่อผมมาได้ที่เบอร์โทร : 098-289-8088 (นัด)

ขอบคุณครับ",รอการช่วยเหลือ
HDY68-1124-0797,2025-11-24 14:23:19,2025-11-24 14:23:19,หาดใหญ่,ควนลัง,สงขลา,1.45,34.7,,ได้โปรดช่วยเหลือ เนื่องจากเป็นบ้านชั้นเดียว ตอนนี้อยู่บนหลังคา,รอการช่วยเหลือ
HDY68-1124-0798,2025-11-24 14:23:29,2025-11-24 14:23:29,หาดใหญ่,ฉลุง,สงขลา,1.45,34.7,,,รอการช่วยเหลือ
HDY68-1124-0799,2025-11-24 14:23:44,2025-11-24 14:23:44,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,ใครสามารถติดต่อ จนท. ได้ไหมคะ โรสโทรหาไม่มีที่ไหนรับสาย น้องนักศึกษาฝึกงานผู้หญิงสองคนติดอยู่บ้านสุธาทิพย์คลอง ร.1ท่าเคียน ไม่มีน้ำ อาหารอยากอพยพ เบอร์น้องชื่อเนม 0622940827 ช่วยหน่อยนะคะ,รอการช่วยเหลือ
HDY68-1124-0800,2025-11-24 14:23:49,2025-11-24 14:23:49,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,มีคนติดอยู่ในบ้านรวมกัน13คน ต้องการความช่วนเหบือด่วนค่ะตอนนี้น้ำจะขึ้นถึงชั้น2แล้วค่ะ,รอการช่วยเหลือ
HDY68-1124-0801,2025-11-24 14:23:59,2025-11-24 14:23:59,หาดใหญ่,บ้านพรุ,สงขลา,1.45,34.7,,,รอการช่วยเหลือ
HDY68-1124-0802,2025-11-24 14:24:04,2025-11-25 07:29:35,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,"บัญชา โล่ห์ยุคล 0815989326 
ที่อยู่ นิพัทธ์สงเคราะห์ ซอย 18  บ้านเลขที่ 11
 ร้านพันธมิตรแอร์
ชาย อายุ 70 ปี คนเดียว ไม่มีโทรศัพท์ แบตหมด
อยู่แถววัดเกาะเสือ ลูกๆติดต่อไม่ได้ เป็นห่วงมาก เป็นชายสูงอายุอยุ่บ้านคนเดียว",รอการช่วยเหลือ
HDY68-1124-0803,2025-11-24 14:24:04,2025-11-24 14:24:04,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.7,,ติดต่อคนในบ้านไม่ได้ แบตเค้าหมด ชั้น2มีกรงเหล็กกั้น แผนที่ในแมพไม่ตรง ให้ไปซอย21รัตนอุทิศ หาดใหญ่ บ้านที่อยู่ติดหัวเลี้ยวทางต่างระดับค่ะ,รอการช่วยเหลือ
HDY68-1124-0804,2025-11-24 14:24:19,2025-11-24 14:24:19,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,"‼️‼️ขอความช่วยเหลือต้องการอพยพค่ะ
- 17/1 นิพัทธ์สงเคราะห์ 2 ซอย 2 หลังสนามกีฬากลาง มีป้าเป็นผู้สูงอายุมีโรคประจำตัว 2 คน อยู่กับลูกชายอีก 1 คน
- หลัง รพ.ศิครินทร์ ถนนรัถการ มีป้าเป็นผู้สูงอายุมีโรคประจำตัว 1 คน อยู่กับลูกชาย 1 คน 
ทั้ง2 หลัง ติดมาหลายวันและไม่ได้รับอาหารแจกเลยค่ะ รบกวนช่วยเหลือด้วยค่ะ ขอบคุณมากๆ เลย

‼️ติดต่อเบอร์ 081-618-7558 หรือ 091-449-1595 นะคะ",รอการช่วยเหลือ
HDY68-1124-0805,2025-11-24 14:24:35,2025-11-24 14:24:35,หาดใหญ่,คลองแห,สงขลา,1.45,34.7,,ตอนนี้น้ำท่วมสูงมากค่ะ ต้องการอพยบไปยังศูนย์พักพิง,รอการช่วยเหลือ
HDY68-1124-0806,2025-11-24 14:24:46,2025-11-24 14:24:46,หาดใหญ่,คลองแห,สงขลา,1.45,34.7,,"ผู้แจ้งเป็นญาติไม่ได้อยู่ในพื้นที่ ตอนนี้ไม่สามารถติดต่อคนในพื้นที่ได้

ผู้แจ้งเรื่อง ชา 0865344098",รอการช่วยเหลือ
HDY68-1124-0807,2025-11-24 14:24:52,2025-11-24 14:24:52,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,,รอการช่วยเหลือ
HDY68-1124-0808,2025-11-24 14:25:20,2025-11-24 14:25:20,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,พ่อเป็นผู้ป่วยไตวายเรื้อรังค่ะ ปกติต้องฟอกไต 3 ครั้งต่อสัปดาห์ แต่ตั้งแต่น้ำท่วมพ่อขาดการฟอกไตไปแล้ว 2 ครั้ง จึ่งทำให้มีภาวะน้ำเกินเกิดขึ้น มีอาการหอบเหนื่อย หายใจไม่ออก น่าจะเป็นภาวะน้ำท่วมปอด ต้องการความช่วยเหลือเร่งด่วน ค่ะ เพราะภาวะที่เกิดขึ้นอาจทำให้เสียชีวิตได้ ตอนนี้ติดอยู่ในบ้านกะพี่สาวสองคน ต้องการความช่วยเหลือทางเรือเพื่อไปฟอกไตที่ รพ.ศิขรินทร์ บ้านอยู่ซอย 12 รัถการ ต หาดใหญ่ อ หาดใหญ่ จ สงขลา,รอการช่วยเหลือ
HDY68-1124-0809,2025-11-24 14:25:24,2025-11-24 14:25:24,หาดใหญ่,ควนลัง,สงขลา,1.45,34.7,,,รอการช่วยเหลือ
HDY68-1124-0810,2025-11-24 14:25:37,2025-11-24 14:25:37,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,ญาติเป็นผู้แจ้งขอความช่วยเหลือ เพราะผู้ประสบภัยแบตหมด ตอนนี้น้ำใกล้ถึงชั้นสองแล้วค่ะ,รอการช่วยเหลือ
HDY68-1124-0811,2025-11-24 14:25:38,2025-11-24 14:25:38,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,"ในซอยมีประมาณ 20 หลัง
สถานการณ์ตอนนี้ น้ำจะถึงชั้น2แล้วคับ
ถ้าท่วมชั้น2 จะไม่มีที่อยู่แล้วครับ เด็ก/ผู้หญิง คนแก่ไม่น่าจะช่วยเหลือตัวเองได้ครับ เพราะว่าน้ำไม่เป็น",รอการช่วยเหลือ
HDY68-1124-0812,2025-11-24 14:25:51,2025-11-24 14:25:51,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.7,,ตอนนี้ในบ้านมีผู้สูงอายุ 2 คน อายุ 69 ปี และ 71 ปี อาหารที่มีตอนนี้เหลือแค่ผลไม้ไม่กี่ลูก ไม่มีข้าวหรืออาหารอื่นๆแล้ว แต่ยังพอมีน้ำดื่มได้อีก 1-2 วัน,รอการช่วยเหลือ
HDY68-1124-0813,2025-11-24 14:25:57,2025-11-24 14:25:57,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,ในบ้านอยู่กัน 3 คน กับ แมว 8 ตัว,รอการช่วยเหลือ
HDY68-1124-0814,2025-11-24 14:25:57,2025-11-24 14:25:57,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.7,,,รอการช่วยเหลือ
HDY68-1124-0815,2025-11-24 14:26:06,2025-11-24 14:26:06,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,มีผู้ป่วยตัดเตียงชาย 1คน เด็ก 1คน ผู้ใหญ่ 2คน และแมว 3 ตัว ต้องการอพยพออกจากบ้าน,รอการช่วยเหลือ
HDY68-1124-0816,2025-11-24 14:26:06,2025-11-24 14:26:06,หาดใหญ่,บ้านพรุ,สงขลา,1.45,34.7,,,รอการช่วยเหลือ
HDY68-1124-0818,2025-11-24 14:26:11,2025-11-24 14:26:11,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,อพยพน้ำท่วมหาดใหญ่ ในบ้านมีผู้สูงอายุ เป็นโรคหอบหืด กรดไหลย้อน โรคกระเพาะ,รอการช่วยเหลือ
HDY68-1124-0817,2025-11-24 14:26:11,2025-11-24 14:26:11,คลองหอยโข่ง,ทุ่งลาน,สงขลา,1.45,34.7,,ขอความช่วยเหลืออพยพคน มีเด็ก ผู้ใหญ่ คนชรารวม 9 คน  ไปอยู่บ้านอีกหลังห่างกันประมาณ 50 เมตร เนื่องจากน้ำขึ้นบ้านชั้น 2 แล้ว,รอการช่วยเหลือ
HDY68-1124-0819,2025-11-24 14:26:13,2025-11-24 14:26:13,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.7,,ผู้สูงอายุเป็ยสโตรก 1 คน ผู้หญิง 1 คน ต้องการอพยพ ออก อาหารไม่มี,รอการช่วยเหลือ
HDY68-1124-0820,2025-11-24 14:26:13,2025-11-24 14:26:13,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,คนแก่3 เด็ก3 ผู้ใหญ่3 ติดต่อไม่ได้ รบกวนตะโกนหน่อยนะคะ,รอการช่วยเหลือ
HDY68-1124-0821,2025-11-24 14:26:14,2025-11-24 14:26:14,หาดใหญ่,ควนลัง,สงขลา,1.45,34.7,,รบกวนด้วยนะคะ,รอการช่วยเหลือ
HDY68-1124-0822,2025-11-24 14:26:17,2025-11-24 14:26:17,หาดใหญ่,บ้านพรุ,สงขลา,1.45,34.7,,มีคนอยู่หลายคน น้ำกำลังจะขึ้นถึงชั้น 2,รอการช่วยเหลือ
HDY68-1124-0823,2025-11-24 14:26:17,2025-11-24 14:26:17,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,ถ้าอพยพไม่ได้ยังไง รบกวนขออาหารกับน้ำดื่มก็ได้ครับ,รอการช่วยเหลือ
HDY68-1124-0824,2025-11-24 14:26:19,2025-11-24 14:26:19,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.7,,ในบ้านมีคนแก่ 2 คน เดินไม่ได้ล่าสุด 21.10 น้ำท่วมถึงที่นอน ไม่มีทางออก ออกได้ทางหน้าต่าง มีกรงเหล็ก ต้องมีอุปกรณ์มางัด ไม่ได้กินข้าวมาแล้ว 2 วัน ช่วยเหลือด้วยนะคะ,รอการช่วยเหลือ
HDY68-1124-0825,2025-11-24 14:26:30,2025-11-24 14:26:30,หาดใหญ่,คอหงส์,สงขลา,1.45,34.7,,ตอนนี้แบตแม่หนูใกล้จะหมดแล้ว ยายอายุ82ปีอยู่กับแม่หนู2คน น้ำกำลังจะท่วมชั้นลอยแล้วค่ะ🥹ช่วยแม่กับยายหนูด้วยค่ะ🙏🏻,รอการช่วยเหลือ
HDY68-1124-0826,2025-11-24 14:26:37,2025-11-24 14:26:37,หาดใหญ่,หาดใหญ่,สงขลา,1.45,34.7,,บ้านชั้นเดียวน้ำถึงหลังคาบ้าน ตอนนี้อยู่บนหลังคามาตั้งแต่เช้า 24/11/2025,รอการช่วยเหลือ
HDY68-1124-0827,2025-11-24 14:26:42,2025-11-24 14:26:42,สะเดา,ท่าโพธิ์,สงขลา,1.44,34.7,,ทางผู้ประสบภัยทักมาแจ้งให้ขอความช่วยเหลือให้เนื่องจากไม่มีสัญญาณมือและอินเทอร์เน็ตในพื้นที่เลย,รอการช่วยเหลือ
HDY68-1124-0828,2025-11-24 14:26:46,2025-11-24 14:26:46,หาดใหญ่,หาดใหญ่,สงขลา,1.44,34.7,,,รอการช่วยเหลือ
HDY68-1124-0829,2025-11-24 14:26:50,2025-11-24 14:26:50,หาดใหญ่,หาดใหญ่,สงขลา,1.44,34.7,,"‼️ขอความช่วยเหลือหน่อยค่ะ ‼️
บ้านเลขที่ 45 ถนนโชคสมาน 5 ซ.4
มีผู้ใหญ่ติดอยู่ในบ้าน 2 คน และเด็กเล็ก 1 คน
 ไม่มีสัญญาณโทรศัพท์เลย ❌❌❌
อดอาหารมา 2-3 วันแล้วค่ะ ตอนนี้อาศัยอยู่ชั้นลอย  🥹
รบกวนช่วยด้วยค่ะ🙏🏻🙏🏻🙏🏻🙏🏻

ถ้าเข้าโชคสมานช่วยบ้านหลังนี้ด้วยนะคะ",รอการช่วยเหลือ
HDY68-1124-0830,2025-11-24 14:26:54,2025-11-24 14:26:54,หาดใหญ่,คอหงส์,สงขลา,1.44,34.7,,ขอให้เจ้าหน้าที่ช่วยอพยพออกมาให้ได้ มีผู้สูงอายุ 90 ปี มีเด็ก และผู้หญิง 60 ปี ขาดน้ำและอาหารมาแล้ว 3 วัน,รอการช่วยเหลือ
HDY68-1124-0831,2025-11-24 14:27:03,2025-11-24 14:27:03,หาดใหญ่,คอหงส์,สงขลา,1.44,34.7,,"🔴จุดที่ 1 บ้านเลขที่ 161 ปากซอยสามัคคี5 ตำบลหาดใหญ่ จังหวัดสงขลา บ้านอยู่ติดถนนใหญ่ หน้าบ้านมีต้นมะละกอ ทางไปสถานีดับเพลิงจันทร์วิโรจน์
มีผู้สูงอายุอายุ 80 ปี ต้องใช้ไม้เท้าติดอยู่ในบ้าน และผู้หญิง อายุ55ปี ไม่มีอาหารและน้ำดื่ม ไม่มีไฟฟ้าใช้ ขอยาด้วยค่ะ ไม่สามารถติดต่อคนในบ้านได้",รอการช่วยเหลือ
HDY68-1124-0832,2025-11-24 14:27:05,2025-11-24 14:27:05,หาดใหญ่,คอหงส์,สงขลา,1.44,34.7,,น้ำท่วมสูงกำลังจะท่วมชั้น 2 และระดับน้ำกำลังเพิ่มขึ้นเรื่อยๆครับ ต้องการความช่วยเหลือด่วนครับ,รอการช่วยเหลือ
HDY68-1124-0833,2025-11-24 14:27:07,2025-11-24 14:27:07,หาดใหญ่,ควนลัง,สงขลา,1.44,34.7,,"ขอความช่วยเหลือครับ 
คนแก่ คนพิการ เด็กเล็ก ในซอยเทศาพัฒนา14 และ 14/1 ตรงข้ามโลตัสหาดใหญ่ใน ห่างโลตัสหาดใหญ่ใน50เมตร ประมาณ25คน น้ำท่วมสูง2เมตร ยังไม่มีหน่วยงานเข้าไปเลยครับ  ขออพยพด่วนหรืออาหารและน้ำดื่มครับ  
ติดต่อ คุณปลา ไชยวัฒน์ 0813729509 0817027285 0910451233 0993658244",รอการช่วยเหลือ
HDY68-1124-0834,2025-11-24 14:27:09,2025-11-24 14:27:09,หาดใหญ่,คอหงส์,สงขลา,1.44,34.7,,ตอนนี้อยู่กันชั้น2แต่ไม่มีระเบียงค่ะ กลัวน้ำขึ้นสูงกว่านี้จะไม่มีที่อยู่กัน ช่วยด้วยนะคะ ขอบคุณค่ะ,รอการช่วยเหลือ
HDY68-1124-0835,2025-11-24 14:27:13,2025-11-24 14:27:13,หาดใหญ่,คอหงส์,สงขลา,1.44,34.7,,มีเด็กเล็กป่วย2คนและแม่อีก1คน ยังไม่มีหน่วยงานเข้าไป อดอาหารมา 3 วัน แล้ว ช่วยรีบอพยพหน่อยค่ะ แบตเตอรี่กำลังจะหมด,รอการช่วยเหลือ
HDY68-1124-0836,2025-11-24 14:27:37,2025-11-24 14:27:37,หาดใหญ่,หาดใหญ่,สงขลา,1.44,34.7,,ผู้หญิง1คน เด็กผู้ชาย1คน กับแมวอีก9ตัว ติดต่อได้ล่าสุดวันที่ 21 พฤศจิกายน ปัจจุบันคาดว่าแบตหมด และไม่มีอาหารทานมา3วันแล้วครับ น้ำกำลังท่วมสูงขึ้นครับ ขอร้องให้การช่วยเหลือหน่อยครับ อย่างน้อยเอาอาหารน้ำไปให้พวกเค้าก็ได้ครับ,รอการช่วยเหลือ
HDY68-1124-0837,2025-11-24 14:27:49,2025-11-24 14:27:49,หาดใหญ่,คอหงส์,สงขลา,1.44,34.7,,,รอการช่วยเหลือ
HDY68-1124-0838,2025-11-24 14:27:55,2025-11-24 14:27:55,หาดใหญ่,หาดใหญ่,สงขลา,1.44,34.7,,,รอการช่วยเหลือ
HDY68-1124-0839,2025-11-24 14:27:56,2025-11-24 14:27:56,หาดใหญ่,คอหงส์,สงขลา,1.44,34.7,,น้ำขึ้นสูงมาก ปิดชั้น1 ไม่สามารถออกไปข้างนอกได้ ตอนนี้ขาดแคลนน้ำและอาหาร,รอการช่วยเหลือ
HDY68-1124-0840,2025-11-24 14:28:03,2025-11-24 14:28:03,หาดใหญ่,คอหงส์,สงขลา,1.44,34.7,,,รอการช่วยเหลือ
HDY68-1124-0841,2025-11-24 14:28:14,2025-11-24 14:28:14,หาดใหญ่,คอหงส์,สงขลา,1.44,34.7,,,รอการช่วยเหลือ
HDY68-1124-0842,2025-11-24 14:28:30,2025-11-24 14:28:30,หาดใหญ่,ควนลัง,สงขลา,1.44,34.6,,,รอการช่วยเหลือ
HDY68-1124-0843,2025-11-24 14:28:31,2025-11-24 14:28:31,หาดใหญ่,คอหงส์,สงขลา,1.44,34.6,,"มีคนติดอยู่ในหมู่บ้านประมาณ 40 คน
ขาดอาหารและน้ำ,แบตเตอรี่กำลังจะหมดครับ
น่ำกำลังเพิ่มขึ้นจะถึงชั้น 2",รอการช่วยเหลือ
HDY68-1124-0844,2025-11-24 14:28:37,2025-11-24 14:28:37,หาดใหญ่,ควนลัง,สงขลา,1.44,34.6,,ติดอยู่ในบ้านชั้นครึ่งสีส้ม ในซอยสันติราฎร์จำนวน 30 คน มีเด็กและผู้สูงอายุ (โรคหัวใจ),รอการช่วยเหลือ
HDY68-1124-0845,2025-11-24 14:28:39,2025-11-24 14:28:39,หาดใหญ่,ควนลัง,สงขลา,1.44,34.6,,แบตมือถือหมด และไม่มีไฟฟ้า ขาดแคลนอาหารและน้ำดื่ม ติดต่อคนในบ้านไม่ได้ตั้งแต่ช่วงเย็นวันที่ 22 พย ค่ะ เป็นห่วงมาก ๆ,รอการช่วยเหลือ
HDY68-1124-0846,2025-11-24 14:28:55,2025-11-24 14:28:55,หาดใหญ่,หาดใหญ่,สงขลา,1.44,34.6,,"ขณะนี้มีเจ้าหน้าที่บุคลากรจาก 3 หน่วยงาน ที่ยังต้องการความช่วยเหลือ คือ
1️⃣ ด่านกักกันสัตว์สงขลา
2️⃣ หน่วยผสมเทียม
3️⃣ ศูนย์วิจัยและพัฒนาฯ
รวมทั้งหมดประมาณ 40 คน",รอการช่วยเหลือ
HDY68-1124-0847,2025-11-24 14:28:57,2025-11-24 14:28:57,หาดใหญ่,คอหงส์,สงขลา,1.44,34.6,,"ตอนนี้น้ำกำลังท่วมชั้น 2 ค่ะ
มีผู้ชาย 5 คน ผู้หญิง 1 คน
มีข้างๆบ้านมีผู้ที่ต้องการอพยบด้วยค่ะเป็นผู้สูงวัยและเด็ก",รอการช่วยเหลือ
HDY68-1124-0848,2025-11-24 14:29:01,2025-11-24 14:29:01,หาดใหญ่,ควนลัง,สงขลา,1.44,34.6,,,รอการช่วยเหลือ
HDY68-1124-0849,2025-11-24 14:29:15,2025-11-24 14:29:15,หาดใหญ่,คอหงส์,สงขลา,1.44,34.6,,ผู้สูงอายุ อายุ 70 กว่าปี อาศัยอยู่คนเดียว,รอการช่วยเหลือ
HDY68-1124-0850,2025-11-24 14:29:35,2025-11-24 14:29:35,หาดใหญ่,คอหงส์,สงขลา,1.44,34.6,,"- ติดอยู่บนหลังคาตั้งแต่ช่วงเช้า ประมาณ 10 คน มีเด็ก ผู้สูงอายุ และผู้ป่วยขาหัก 1 คนครับ) 
- ติดมาเกิน 10 ชม.แบตมือถือใกล้หมดแล้ว รบกวนเร่งด่วนนะครับ",รอการช่วยเหลือ
